t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,adc,F_N,tau_Nm,mode
25979.482257288,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.486267975,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.490153746,0.0,0.0,0.0,0.0,-9,0,0.0,0.0,RETURN
25979.494264831,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.49815085,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.502172671,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.506157503,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.510289369,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25979.514289288,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.5181937,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25979.522212729,0.0,0.0,0.0,0.0,-21,0,0.0,0.0,RETURN
25979.526196305,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.530278959,0.0,0.0,0.0,0.0,-9,0,0.0,0.0,RETURN
25979.534277791,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.538157533,0.0,0.0,0.0,0.0,8,0,0.0,0.0,RETURN
25979.54216596,0.0,0.0,0.0,0.0,9,0,0.0,0.0,RETURN
25979.546155263,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.550154728,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.554153897,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.558153819,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.562188303,0.0,0.0,0.0,0.0,-26,0,0.0,0.0,RETURN
25979.566155065,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.570151857,0.0,0.0,0.0,0.0,7,0,0.0,0.0,RETURN
25979.574184497,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.578227868,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.582232216,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.586156982,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.590157157,0.0,0.0,0.0,0.0,-11,0,0.0,0.0,RETURN
25979.594188606,0.0,0.0,0.0,0.0,-11,0,0.0,0.0,RETURN
25979.598193821,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25979.602137067,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25979.606160072,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25979.610138726,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25979.614286309,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.61815903,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.622270405,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25979.626258983,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25979.630267874,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
