time_ms,phase,raw,ac,rect,envelope
5,RELAX1,19,0,0,0.00
10,RELAX1,36,0,0,0.00
15,RELAX1,20,0,0,0.00
20,RELAX1,36,0,0,0.00
25,RELAX1,21,0,0,0.00
30,RELAX1,40,0,0,0.00
35,RELAX1,25,0,0,0.00
40,RELAX1,35,0,0,0.00
45,RELAX1,21,0,0,0.00
50,RELAX1,35,0,0,0.00
55,RELAX1,19,0,0,0.00
60,RELAX1,39,0,0,0.00
65,RELAX1,18,0,0,0.00
70,RELAX1,40,0,0,0.00
75,RELAX1,23,0,0,0.00
80,RELAX1,36,0,0,0.00
86,RELAX1,20,0,0,0.00
91,RELAX1,42,0,0,0.00
96,RELAX1,26,0,0,0.00
101,RELAX1,37,0,0,0.00
106,RELAX1,19,0,0,0.00
111,RELAX1,37,0,0,0.00
116,RELAX1,31,0,0,0.00
121,RELAX1,37,0,0,0.00
126,RELAX1,20,0,0,0.00
131,RELAX1,40,0,0,0.00
136,RELAX1,25,0,0,0.00
141,RELAX1,36,0,0,0.00
146,RELAX1,19,0,0,0.00
151,RELAX1,37,0,0,0.00
156,RELAX1,33,0,0,0.00
161,RELAX1,32,0,0,0.00
166,RELAX1,21,0,0,0.00
171,RELAX1,42,0,0,0.00
176,RELAX1,24,0,0,0.00
181,RELAX1,41,0,0,0.00
186,RELAX1,19,0,0,0.00
191,RELAX1,41,0,0,0.00
196,RELAX1,34,0,0,0.00
201,RELAX1,38,0,0,0.00
206,RELAX1,19,0,0,0.00
211,RELAX1,39,0,0,0.00
216,RELAX1,24,0,0,0.00
221,RELAX1,40,0,0,0.00
226,RELAX1,19,0,0,0.00
231,RELAX1,42,0,0,0.00
236,RELAX1,32,0,0,0.00
241,RELAX1,35,0,0,0.00
246,RELAX1,19,0,0,0.00
251,RELAX1,38,0,0,0.00
256,RELAX1,21,0,0,0.00
261,RELAX1,37,0,0,0.00
266,RELAX1,19,0,0,0.00
271,RELAX1,42,0,0,0.00
276,RELAX1,33,0,0,0.00
281,RELAX1,36,0,0,0.00
286,RELAX1,21,0,0,0.00
291,RELAX1,42,0,0,0.00
296,RELAX1,31,0,0,0.00
301,RELAX1,40,0,0,0.00
306,RELAX1,19,0,0,0.00
311,RELAX1,45,0,0,0.00
316,RELAX1,31,0,0,0.00
321,RELAX1,35,0,0,0.00
326,RELAX1,19,0,0,0.00
331,RELAX1,39,0,0,0.00
336,RELAX1,35,0,0,0.00
342,RELAX1,36,0,0,0.00
347,RELAX1,20,0,0,0.00
352,RELAX1,36,0,0,0.00
357,RELAX1,37,0,0,0.00
362,RELAX1,34,0,0,0.00
367,RELAX1,20,0,0,0.00
372,RELAX1,36,0,0,0.00
377,RELAX1,46,0,0,0.00
382,RELAX1,32,0,0,0.00
387,RELAX1,22,0,0,0.00
392,RELAX1,36,0,0,0.00
397,RELAX1,37,0,0,0.00
402,RELAX1,37,0,0,0.00
407,RELAX1,22,0,0,0.00
412,RELAX1,35,0,0,0.00
417,RELAX1,43,0,0,0.00
422,RELAX1,31,0,0,0.00
427,RELAX1,21,0,0,0.00
432,RELAX1,37,0,0,0.00
437,RELAX1,38,0,0,0.00
442,RELAX1,34,0,0,0.00
447,RELAX1,22,0,0,0.00
452,RELAX1,35,0,0,0.00
457,RELAX1,41,0,0,0.00
462,RELAX1,35,0,0,0.00
467,RELAX1,23,0,0,0.00
472,RELAX1,40,0,0,0.00
477,RELAX1,37,0,0,0.00
482,RELAX1,34,0,0,0.00
487,RELAX1,22,0,0,0.00
492,RELAX1,36,0,0,0.00
497,RELAX1,40,0,0,0.00
502,RELAX1,32,0,0,0.00
507,RELAX1,25,0,0,0.00
512,RELAX1,38,0,0,0.00
517,RELAX1,33,0,0,0.00
522,RELAX1,36,0,0,0.00
527,RELAX1,22,0,0,0.00
532,RELAX1,36,0,0,0.00
537,RELAX1,40,0,0,0.00
542,RELAX1,32,0,0,0.00
547,RELAX1,23,0,0,0.00
552,RELAX1,33,0,0,0.00
557,RELAX1,38,0,0,0.00
562,RELAX1,33,0,0,0.00
567,RELAX1,21,0,0,0.00
572,RELAX1,39,0,0,0.00
577,RELAX1,36,0,0,0.00
582,RELAX1,35,0,0,0.00
587,RELAX1,22,0,0,0.00
592,RELAX1,32,0,0,0.00
598,RELAX1,43,0,0,0.00
603,RELAX1,30,0,0,0.00
608,RELAX1,26,0,0,0.00
613,RELAX1,32,0,0,0.00
618,RELAX1,44,0,0,0.00
623,RELAX1,30,0,0,0.00
628,RELAX1,30,0,0,0.00
633,RELAX1,27,0,0,0.00
638,RELAX1,47,0,0,0.00
643,RELAX1,29,0,0,0.00
648,RELAX1,24,0,0,0.00
653,RELAX1,29,0,0,0.00
658,RELAX1,47,0,0,0.00
663,RELAX1,30,0,0,0.00
668,RELAX1,28,0,0,0.00
673,RELAX1,24,0,0,0.00
678,RELAX1,49,0,0,0.00
683,RELAX1,33,0,0,0.00
688,RELAX1,24,0,0,0.00
693,RELAX1,32,0,0,0.00
698,RELAX1,43,0,0,0.00
703,RELAX1,30,0,0,0.00
708,RELAX1,25,0,0,0.00
713,RELAX1,29,0,0,0.00
718,RELAX1,44,0,0,0.00
723,RELAX1,25,0,0,0.00
728,RELAX1,24,0,0,0.00
733,RELAX1,31,0,0,0.00
738,RELAX1,45,0,0,0.00
743,RELAX1,27,0,0,0.00
748,RELAX1,29,0,0,0.00
753,RELAX1,27,0,0,0.00
758,RELAX1,47,0,0,0.00
763,RELAX1,30,0,0,0.00
768,RELAX1,24,0,0,0.00
773,RELAX1,33,0,0,0.00
778,RELAX1,48,0,0,0.00
783,RELAX1,32,0,0,0.00
788,RELAX1,28,0,0,0.00
793,RELAX1,27,0,0,0.00
798,RELAX1,44,0,0,0.00
803,RELAX1,26,0,0,0.00
808,RELAX1,34,0,0,0.00
813,RELAX1,31,0,0,0.00
818,RELAX1,43,0,0,0.00
823,RELAX1,28,0,0,0.00
828,RELAX1,28,0,0,0.00
833,RELAX1,30,0,0,0.00
838,RELAX1,46,0,0,0.00
843,RELAX1,25,0,0,0.00
848,RELAX1,29,0,0,0.00
854,RELAX1,24,0,0,0.00
859,RELAX1,44,0,0,0.00
864,RELAX1,25,0,0,0.00
869,RELAX1,33,0,0,0.00
874,RELAX1,20,0,0,0.00
879,RELAX1,50,0,0,0.00
884,RELAX1,25,0,0,0.00
889,RELAX1,38,0,0,0.00
894,RELAX1,18,0,0,0.00
899,RELAX1,43,0,0,0.00
904,RELAX1,26,0,0,0.00
909,RELAX1,34,0,0,0.00
914,RELAX1,21,0,0,0.00
919,RELAX1,41,0,0,0.00
924,RELAX1,23,0,0,0.00
929,RELAX1,40,0,0,0.00
934,RELAX1,18,0,0,0.00
939,RELAX1,47,0,0,0.00
944,RELAX1,24,0,0,0.00
949,RELAX1,31,0,0,0.00
954,RELAX1,23,0,0,0.00
959,RELAX1,43,0,0,0.00
964,RELAX1,23,0,0,0.00
969,RELAX1,38,0,0,0.00
974,RELAX1,18,0,0,0.00
979,RELAX1,42,0,0,0.00
984,RELAX1,28,0,0,0.00
989,RELAX1,33,0,0,0.00
994,RELAX1,21,0,0,0.00
999,RELAX1,44,0,0,0.00
1004,RELAX1,21,0,0,0.00
1009,RELAX1,30,0,0,0.00
1014,RELAX1,19,0,0,0.00
1019,RELAX1,41,0,0,0.00
1024,RELAX1,28,0,0,0.00
1029,RELAX1,33,0,0,0.00
1034,RELAX1,22,0,0,0.00
1039,RELAX1,44,0,0,0.00
1044,RELAX1,25,0,0,0.00
1049,RELAX1,31,0,0,0.00
1054,RELAX1,20,0,0,0.00
1059,RELAX1,41,0,0,0.00
1064,RELAX1,21,0,0,0.00
1069,RELAX1,29,0,0,0.00
1074,RELAX1,21,0,0,0.00
1079,RELAX1,44,0,0,0.00
1084,RELAX1,26,0,0,0.00
1089,RELAX1,33,0,0,0.00
1094,RELAX1,20,0,0,0.00
1099,RELAX1,45,0,0,0.00
1104,RELAX1,23,0,0,0.00
1110,RELAX1,38,0,0,0.00
1115,RELAX1,19,0,0,0.00
1120,RELAX1,40,0,0,0.00
1125,RELAX1,19,0,0,0.00
1130,RELAX1,39,0,0,0.00
1135,RELAX1,22,0,0,0.00
1140,RELAX1,39,0,0,0.00
1145,RELAX1,18,0,0,0.00
1150,RELAX1,43,0,0,0.00
1155,RELAX1,19,0,0,0.00
1160,RELAX1,40,0,0,0.00
1165,RELAX1,23,0,0,0.00
1170,RELAX1,38,0,0,0.00
1175,RELAX1,19,0,0,0.00
1180,RELAX1,41,0,0,0.00
1185,RELAX1,18,0,0,0.00
1190,RELAX1,40,0,0,0.00
1195,RELAX1,19,0,0,0.00
1200,RELAX1,42,0,0,0.00
1205,RELAX1,19,0,0,0.00
1210,RELAX1,36,0,0,0.00
1215,RELAX1,23,0,0,0.00
1220,RELAX1,42,0,0,0.00
1225,RELAX1,18,0,0,0.00
1230,RELAX1,37,0,0,0.00
1235,RELAX1,22,0,0,0.00
1240,RELAX1,41,0,0,0.00
1245,RELAX1,21,0,0,0.00
1250,RELAX1,38,0,0,0.00
1255,RELAX1,20,0,0,0.00
1260,RELAX1,39,0,0,0.00
1265,RELAX1,21,0,0,0.00
1270,RELAX1,39,0,0,0.00
1275,RELAX1,20,0,0,0.00
1280,RELAX1,39,0,0,0.00
1285,RELAX1,22,0,0,0.00
1290,RELAX1,35,0,0,0.00
1295,RELAX1,18,0,0,0.00
1300,RELAX1,41,0,0,0.00
1305,RELAX1,21,0,0,0.00
1310,RELAX1,37,0,0,0.00
1315,RELAX1,22,0,0,0.00
1320,RELAX1,36,0,0,0.00
1325,RELAX1,20,0,0,0.00
1330,RELAX1,37,0,0,0.00
1335,RELAX1,18,0,0,0.00
1340,RELAX1,41,0,0,0.00
1345,RELAX1,19,0,0,0.00
1350,RELAX1,35,0,0,0.00
1355,RELAX1,22,0,0,0.00
1360,RELAX1,39,0,0,0.00
1366,RELAX1,20,0,0,0.00
1371,RELAX1,39,0,0,0.00
1376,RELAX1,25,0,0,0.00
1381,RELAX1,38,0,0,0.00
1386,RELAX1,20,0,0,0.00
1391,RELAX1,37,0,0,0.00
1396,RELAX1,31,0,0,0.00
1401,RELAX1,37,0,0,0.00
1406,RELAX1,20,0,0,0.00
1411,RELAX1,41,0,0,0.00
1416,RELAX1,23,0,0,0.00
1421,RELAX1,36,0,0,0.00
1426,RELAX1,20,0,0,0.00
1431,RELAX1,40,0,0,0.00
1436,RELAX1,33,0,0,0.00
1441,RELAX1,39,0,0,0.00
1446,RELAX1,19,0,0,0.00
1451,RELAX1,40,0,0,0.00
1456,RELAX1,24,0,0,0.00
1461,RELAX1,37,0,0,0.00
1466,RELAX1,21,0,0,0.00
1471,RELAX1,39,0,0,0.00
1476,RELAX1,32,0,0,0.00
1481,RELAX1,34,0,0,0.00
1486,RELAX1,19,0,0,0.00
1491,RELAX1,38,0,0,0.00
1496,RELAX1,22,0,0,0.00
1501,RELAX1,37,0,0,0.00
1506,RELAX1,19,0,0,0.00
1511,RELAX1,38,0,0,0.00
1516,RELAX1,26,0,0,0.00
1521,RELAX1,40,0,0,0.00
1526,RELAX1,18,0,0,0.00
1531,RELAX1,41,0,0,0.00
1536,RELAX1,22,0,0,0.00
1541,RELAX1,39,0,0,0.00
1546,RELAX1,19,0,0,0.00
1551,RELAX1,37,0,0,0.00
1556,RELAX1,24,0,0,0.00
1561,RELAX1,40,0,0,0.00
1566,RELAX1,18,0,0,0.00
1571,RELAX1,39,0,0,0.00
1576,RELAX1,34,0,0,0.00
1581,RELAX1,42,0,0,0.00
